time_us,abag_bias,abag_gain,abag_control,abag_ek_bar,local_vz
20148, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
30230, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
40317, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
50419, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
60526, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
70641, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
80762, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
90883, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
101008, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
111138, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
121305, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
131455, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
141709, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
151951, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
162077, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
172284, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
182403, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
192652, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
202775, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
212896, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
223137, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
233328, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
243580, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
253678, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
263931, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
274039, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
284266, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
294383, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
304636, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
314762, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
325029, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
335289, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
345375, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
355475, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
365606, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
375703, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
385784, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
395905, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
406026, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
416147, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
426265, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
436388, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
446513, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
456751, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
466868, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
477104, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
487221, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
497471, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
507724, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
517787, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
528051, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
538174, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
548434, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
558552, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
568799, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
578915, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
589006, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
599245, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
609452, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
619581, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
629828, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
640107, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
650193, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
660305, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
670402, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
680518, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
690601, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
700722, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
710843, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
720961, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
731083, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
741204, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
751324, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
761443, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
771561, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
781670, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
791882, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
801999, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
812240, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
822359, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
832607, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
842726, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
852917, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
863157, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
873275, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
883413, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
893684, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
903821, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
913907, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
924161, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
934280, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
944512, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
954639, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
964907, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
975020, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
985286, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
995373, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1005457, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1015562, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1025665, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1035789, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1045894, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1056015, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1066139, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1076252, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1086383, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1096501, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1106621, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1116857, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1127097, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1137214, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1147467, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1157610, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1167696, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1177760, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1187873, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
